wavelength,Baseline 100%T,run_21,run_22,run_23,Baseline 100%T.1,run_24,run_25,run_26,run_27,Baseline 100%T.2,run_28,Baseline 100%T.3,run_29,Baseline 100%T.4,run_30,run_31,Baseline 100%T.5,run_32,run_33,run_34,run_35,run_36,run_37,Baseline 100%T.6,run_38,run_39,run_40,Baseline 100%T.7
2415,13.43186665,53.34127426,53.02389908,51.52813339,13.50976372,49.17633438,45.80020523,41.03772736,35.56322479,13.60780144,100.10038759999999,13.63235283,100.117897,13.6723938,22.25287628,49.93453217,13.73022842,27.75631332,27.48677063,26.88430023,23.49023819,15.08054447,7.950025557999999,13.79575729,1.815300584,3.8166041369999997,9.42364502,13.83541965
2410,14.02751541,53.31209946,53.02451706,51.49943161,14.10872746,49.14122391,45.73581696,40.93653107,35.408638,14.21015739,100.0946732,14.23581982,100.1192932,14.27632904,22.53552246,49.8368721,14.33705139,27.35962296,27.09549141,26.47578812,23.16531181,14.86552811,7.898698807000001,14.40499878,1.74793148,3.7490427489999996,9.420015335,14.44415283
2405,14.59761715,53.30097198,53.01562119,51.47250366,14.68228436,49.09670639,45.66738129,40.83565521,35.27918243,14.78469849,100.1117859,14.81240368,100.1284332,14.85710335,22.80825233,49.747119899999994,14.91869545,26.98426819,26.73875427,26.11207008,22.86467552,14.67566681,7.842864037000001,14.98862457,1.683333278,3.6986622810000003,9.401680946,15.02972507
2400,15.22196388,53.29516602,53.00971222,51.45620728,15.31213951,49.06497955,45.60480881,40.73944473,35.13316727,15.41914082,100.112175,15.44680405,100.11608890000001,15.4926796,23.05900383,49.67206573,15.55652809,26.634758,26.39117813,25.77705002,22.57610512,14.47917366,7.79723835,15.62935734,1.638110757,3.611477137,9.388626099,15.66945457
2395,15.87551498,53.26813889,52.99487686,51.42249298,15.96783066,49.01779175,45.5358429,40.63600159,34.99221039,16.07862854,100.1132507,16.10754204,100.118187,16.15359116,23.31159592,49.59988785,16.22106934,26.29771805,26.05685616,25.45483017,22.2918129,14.29879189,7.753548145,16.2984581,1.587193251,3.527812719,9.379103661,16.33723068
2390,16.54711723,53.27823257,52.99518204,51.41410828,16.64489937,48.98568344,45.47470474,40.53881073,34.85063934,16.76102257,100.10901640000002,16.78871727,100.1502609,16.83919334,23.54376602,49.54001999,16.90847778,25.9756031,25.74752235,25.15182114,22.02002144,14.12745094,7.703553200000001,16.98767471,1.546062469,3.4311075210000004,9.363516808,17.02796364
2385,17.27556229,53.27867889,52.97561264,51.38470459,17.37613869,48.94823456,45.41832733,40.44285583,34.70767593,17.49660873,100.1067276,17.52602196,100.1492844,17.57611275,23.77987862,49.49211884,17.64902496,25.66037178,25.42585945,24.869262699999997,21.74470139,13.96170521,7.634613514,17.73081398,1.512536764,3.340409756,9.354743958,17.77530861
2380,18.04168701,53.28788757,52.9667511,51.36109543,18.14796638,48.89893341,45.34855652,40.34487152,34.55882263,18.2738533,100.102005,18.30246353,100.15277859999999,18.35402489,24.01250839,49.45203781,18.426054,25.338481899999998,25.12272263,24.59958839,21.48526764,13.81413746,7.563489914,18.5168705,1.4878202680000001,3.244703293,9.330690384,18.56023216
2375,18.82784653,53.27575684,52.95811462,51.34187317,18.94278145,48.85555649,45.28615189,40.25497818,34.41384506,19.07082367,100.1057892,19.10315514,100.1448364,19.15483093,24.23969269,49.39624405,19.23162842,25.02570152,24.80703926,24.32686806,21.21168709,13.65236664,7.470656395,19.32244682,1.481065989,3.147957802,9.322300911000001,19.36909294
2370,19.62791061,53.2539711,52.95463181,51.31495667,19.74659157,48.8151474,45.22241211,40.165153499999995,34.29141235,19.87730217,100.121666,19.91229248,100.1398544,19.96320343,24.48721123,49.37505341,20.04461288,24.72294998,24.50204086,24.05018425,20.94778061,13.49175739,7.378347397000001,20.14233398,1.469836235,3.058487654,9.315628052000001,20.18628502
2365,20.43818092,53.25354767,52.93786621,51.30178833,20.56560135,48.78006363,45.16086197,40.07921982,34.16670609,20.69867325,100.1259232,20.73842812,100.1258163,20.79064751,24.72890282,49.34380722,20.87241936,24.41764832,24.19975471,23.77605057,20.66828728,13.3200407,7.264398097999999,20.97613907,1.464607,2.975723982,9.300452232,21.02010918
2360,21.23821831,53.26644897,52.91526413,51.26713943,21.36603165,48.76047516,45.1110611,39.99711227,34.05063248,21.502880100000002,100.13247679999999,21.54299355,100.123024,21.59765053,24.99767685,49.31170654,21.68177223,24.10953712,23.88683128,23.52593803,20.40772057,13.16695213,7.146389961000001,21.78898239,1.4714934830000002,2.9053885939999997,9.297162056,21.83358765
2355,21.98772621,53.26717377,52.90319443,51.25784302,22.12226105,48.732479100000006,45.06394196,39.93209839,33.9480896,22.26211357,100.1230087,22.30535126,100.1085052,22.35834122,25.27880096,49.2939682,22.44272995,23.80681229,23.59310341,23.25300217,20.14722443,13.01246262,7.025662898999999,22.55653572,1.495685458,2.849203825,9.293258667,22.59942245
2350,22.65478134,53.23820114,52.88621139999999,51.23746872,22.78886795,48.71416473,45.03652191,39.88003922,33.87546539,22.93425941,100.1178513,22.97686577,100.1082916,23.03198433,25.58320999,49.2625885,23.11687088,23.51196861,23.29227829,22.98855782,19.90606689,12.86998272,6.906705379,23.23239517,1.513985634,2.81829071,9.299902916,23.28083992
2345,23.23242569,53.25410843,52.87158966,51.22395325,23.36626434,48.70087051,45.02187347,39.83963776,33.83122253,23.51387405,100.1145477,23.56027985,100.09347530000001,23.61367035,25.90974236,49.23505783,23.70190239,23.23027039,23.01715088,22.72042847,19.66801643,12.72429848,6.788552761,23.81573677,1.5362255569999999,2.794091702,9.306113242999999,23.86397934
2340,23.64895248,53.25405121,52.867473600000004,51.20954514,23.78304672,48.68647385,45.00019455,39.81952667,33.80194473,23.93132591,100.12327579999999,23.98019028,100.08379359999999,24.03183365,26.28019714,49.20317078,24.12248802,22.96192551,22.75547409,22.46068954,19.45066071,12.58642864,6.677407742000001,24.23714828,1.5581471919999998,2.7856438160000003,9.32036972,24.28595734
2335,23.88723946,53.2195816,52.85645294,51.20452118,24.02043724,48.68619156,45.00649261,39.81501007,33.80688095,24.167099,100.1173172,24.21753883,100.06648249999999,24.270814899999998,26.67450523,49.17668152,24.35897446,22.71968079,22.51114464,22.21053314,19.25302315,12.46789646,6.580979347,24.46933365,1.5852652790000001,2.79628849,9.339057922,24.52124405
2330,23.86174774,53.24708939,52.85006714,51.20178986,23.98796082,48.7002182,45.03132629,39.8505249,33.8559227,24.13667107,100.10504909999999,24.183242800000002,100.07858279999999,24.23601723,27.11166954,49.13702011,24.32538795,22.49519348,22.28675652,21.97259712,19.07212257,12.35001183,6.499932766000001,24.43270302,1.597718716,2.820767641,9.373847008,24.48918724
2325,23.517494199999998,53.213871,52.85525513,51.21128464,23.63967133,48.72637177,45.07389069,39.91724777,33.97027969,23.785766600000002,100.0963898,23.82995987,100.0808945,23.88344765,27.57667923,49.10715103,23.97123718,22.29665375,22.09072113,21.76107597,18.90887833,12.24994278,6.436267376,24.07301331,1.611076832,2.859839678,9.418233871,24.12950325
2320,22.81818771,53.24549103,52.862697600000004,51.22962570000001,22.93890762,48.76401138,45.13873291,40.02803421,34.13998795,23.08008957,100.08364870000001,23.11781883,100.0919571,23.17270279,28.08831978,49.06897736,23.25663185,22.12042809,21.91762543,21.55986977,18.77434158,12.16031933,6.391335964,23.35436249,1.611311555,2.9024174210000004,9.465133667,23.40883064
2315,21.790048600000002,53.23913574,52.88502502,51.2673912,21.90621758,48.82227325,45.23683929,40.19695663,34.383514399999996,22.03731537,100.1030655,22.07315636,100.10099790000001,22.12825394,28.63554382,49.03216171,22.20897293,21.95778847,21.76253891,21.39144135,18.65707397,12.09136963,6.367765903,22.2986393,1.6144133809999999,2.952228069,9.522075653,22.35148621
2310,20.43956566,53.26098633,52.91156769,51.30961609,20.55038261,48.882293700000005,45.37342834,40.42869949,34.72664261,20.67497063,100.085762,20.70425987,100.1199493,20.75620651,29.23940468,49.01985931,20.83349037,21.83590889,21.64533615,21.25183105,18.57076454,12.02843285,6.353480339,20.91672516,1.604429603,2.9995708469999998,9.5795784,20.96815491
2305,18.83302498,53.24218369,52.94325256,51.3619194,18.93286705,48.99646378,45.57609177,40.75610733,35.20304489,19.04949188,100.0804443,19.07394409,100.1268005,19.12336731,29.8987484,48.99214172,19.19372749,21.75172806,21.55811119,21.15511894,18.50386238,11.97944546,6.359382152999999,19.27240562,1.59335506,3.049841404,9.653951645,19.31973457
2300,17.05587196,53.26351547,52.980117799999995,51.43977356,17.14891243,49.13119125,45.81832123,41.15897369,35.81079483,17.25203133,100.0965118,17.27581406,100.1269073,17.32099152,30.6146946,48.97019196,17.384887699999997,21.66965485,21.48555374,21.06109428,18.45293236,11.94502354,6.388307571,17.45518684,1.570061088,3.082891464,9.718395232999999,17.49526787
2295,15.22000122,53.28272629,53.02935791,51.530731200000005,15.3051424,49.29768372,46.12804794,41.67898941,36.59138489,15.40292549,100.08472440000001,15.41884518,100.1454849,15.46018314,31.3719368,48.98032379,15.51710796,21.63242912,21.44709396,21.01126671,18.42987442,11.92952824,6.435903072,15.58316517,1.541987658,3.118308067,9.780272484,15.6211195
2290,13.42516232,53.28705978,53.07435226,51.63786316,13.50546741,49.49210358,46.50919342,42.30993652,37.53505325,13.58683968,100.112999,13.60428905,100.1672592,13.64104176,32.19443893,48.96629333,13.691483499999999,21.607481,21.42954254,20.9645462,18.42664146,11.91381264,6.483352184,13.75079346,1.506988049,3.1325914860000004,9.831655502,13.78348923
2285,11.72992992,53.32180786,53.12680435,51.76512527,11.80119801,49.74940872,46.96749115,43.08637238,38.69233322,11.87434578,100.12033840000001,11.88991737,100.15548709999999,11.921693800000002,33.09754562,48.97414017,11.970526699999999,21.58655357,21.407417300000002,20.93134308,18.39480591,11.90108109,6.534591197999999,12.02233315,1.481951714,3.137040854,9.864881516,12.04659843
2280,10.21363449,53.33889008,53.17954254,51.91877365,10.27898026,50.01874542,47.47259903,43.98551941,40.06727219,10.34216404,100.1399612,10.35759258,100.17243959999999,10.38698769,34.04760361,48.98735428,10.42952156,21.57388687,21.39836121,20.93723488,18.40669632,11.89466667,6.593181133,10.47815323,1.4537887569999999,3.13320756,9.890705108999999,10.49840546
