wavelength,Baseline 100%T,Baseline 0%T,VG05,VG01,VG06,VG02,VG02_pos2,VG02_pos3,VG02_pos4,VG03_pos1,VG03_pos2,VG04_pos1,VG04_pos2,VG06_post,Baseline 100%T.1,Baseline 0%T.1,VG05_post
2020,13.73610687,-0.001447428949,53.22038651,53.30429077,53.19321823,35.96401978,53.05301666,53.15325928,34.22531891,48.58346176,52.963871,25.05020523,53.99647903,53.78121567,13.99391937,0.0001498957718,53.22273254
2010,13.98865604,-0.001003952581,53.25511169,53.34762955,53.23672485,36.06464005,53.09132385,53.18613052,34.03773499,50.47672272,52.94772339,25.09109116,54.02202606,53.81507111,14.2619133,0.0002387439017,53.21172333
2000,14.24158096,-0.001464185189,53.24168396,53.33636475,53.25406647,36.17065048,53.09744644,53.19264603,33.8228035,51.97610092,52.85256577,25.10112762,54.01563644,53.80751419,14.51769638,-0.0009453204111000001,53.225498200000004
1990,17.16695213,-0.001383659546,53.17856598,53.24593353,53.14642334,35.66474152,52.96861649,53.07846069,33.55126572,52.858932499999995,52.62483978,24.78935623,53.935008999999994,53.71646118,17.49810219,-0.0002048196329,53.14826202
1980,17.69939804,-0.001066091936,53.18063354,53.24116516,53.13868713,35.73856735,52.961170200000005,53.07601166,33.43634796,53.221111300000004,52.50421906,24.80051422,53.92826843,53.71504593,18.04072762,6.879914145e-05,53.13719939999999
1970,18.23776817,-0.001707839197,53.16622162,53.23386765,53.12817001,35.69717407,52.95462799,53.06149292,33.3146286,52.89438248,52.39768219,24.81165886,53.92023849,53.69932556,18.58600616,-0.0004422894563,53.13391113
1960,18.67147446,-0.001486189431,53.124481200000005,53.21871185,53.11955261,35.61597061,52.94464111,53.05231857,33.30789948,51.89994431,52.32884216,24.84864998,53.90627289,53.69277573,19.03331757,-0.0009461257141000001,53.10923386
1950,19.20265198,-0.001806840533,53.15542221,53.20916748,53.11834335,35.53639221,52.93682098,53.04447556,33.53074646,50.32967758,52.25571823,24.90514755,53.89897919,53.69501114,19.57231331,0.0006200624047999999,53.15428925
1940,19.00861931,-0.001887219376,53.06657028,53.19841385,53.0860672,35.52733231,52.92197418,53.03987122,33.81858826,48.36576843,52.22990036,24.95922089,53.93982697,53.77801132,19.39819527,-0.0003254790499,53.10334396
1930,19.09645081,-0.001477891114,53.2936554,53.20666504,53.09249878,35.60108948,52.90542984,53.03973007,33.94839859,46.02862167,52.16042328,24.94212341,53.9825325,53.78424454,19.50872993,-0.0008761748322000001,53.38225555
1920,18.04278374,-0.001122108311,53.04098129,53.2391243,53.13211823,35.7036972,52.93566132,53.09504318,33.86290741,43.54047012,52.15628815,25.09310913,54.06895828,53.89743423,18.48320198,-0.0001245789026,53.04432678
1910,18.96078873,-0.000579929736,53.11512756,53.16170883,53.11180496,35.72735977,52.89490128,53.01919556,33.67339325,40.82053757,52.032546999999994,25.18717384,54.03180695,53.8729248,19.39646339,-0.0001826874941,53.31591797
1900,18.55771446,-0.001525246771,52.96643829,53.19589996,53.11953354,35.82433701,52.93162918,53.07398605,33.61839294,38.33075333,52.09050751,25.10885811,54.12704849,53.97523499,19.03159332,-4.792886466e-05,52.98691559
1890,21.12587738,-0.0008062729612,53.19038773,53.16847992,53.09095383,35.75891876,52.912582400000005,53.06225586,33.42622375,35.85120773,51.98747635,25.2549057,54.00008011,53.83117294,21.6186409,-0.00011299360629999999,53.35521698
1880,22.39951897,-0.0007497846963999999,53.13097763,53.15081406,53.07610703,35.65509796,52.89364624,53.03571701,33.18304443,33.66245651,51.93352127,25.26564217,53.96205139,53.79100418,22.90853882,0.000433979847,53.17765427
1870,17.37005424,-0.001319326111,52.87905502,53.1672821,53.0830574,35.71273804,52.88948822,53.07614899,33.26442337,31.81776428,52.07226944,25.43977737,54.23702621,54.12425995,17.86504364,-0.0005182039458,52.92048645
1860,22.06569672,-0.000795195403,52.95446396,53.17043686,53.11959457,35.66544724,52.9162941,53.04536819,33.44148254,29.97019577,51.90338516,25.41697693,54.02941132,53.90452194,22.63565445,0.0006710615707999999,52.87567902
