wavelength,Baseline 100%T,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
1298,184.70336909999997,99.99706268,99.97835541,45.16043854,45.20785141,46.34951401,99.94695282,44.34082794,44.34676743,45.85927582,42.52507782,99.95562744,46.43857193,51.91546249,58.41014862,51.68866348,53.74613571,53.82951355,62.40581894,99.83710479999999
1296,184.6633148,99.99802399,99.99333954,45.15621948,45.20232773,46.32790756,99.96316528,44.32286835,44.32952118,46.04575348,42.35192871,99.96804809999999,46.28244019,51.93055344,58.41876221,51.6868515,53.74376678,53.82139206,62.39049911,99.84059143
1294,184.6446381,99.99208832,99.98988342,45.14588165,45.18876266,46.30265045,99.9539032,44.30152893,44.30680084,46.21463776,42.13788986,99.96724701,46.17911911,51.9406395,58.41751862,51.67838287,53.73388672,53.80622864,62.36962509,99.83507538
1292,184.6101074,99.99273682,99.99336243,45.13410568,45.18108749,46.2893219,99.95721436,44.28517151,44.29248428,46.309982299999994,41.94425583,99.96611786,46.16056061,51.95233154,58.42607117,51.6798439,53.73256683,53.80217361,62.35669708,99.84083557
1290,184.5856018,99.99468231,99.98710632,45.12322998,45.17185211,46.27048492,99.96173859,44.26776505,44.27488327,46.29267883,41.81112671,99.96568298,46.21169281,51.94919205,58.42313004,51.67443848,53.72620392,53.79345322,62.33618927,99.83856964
1288,184.5525513,99.99531555,100.0007248,45.11152267,45.15664673,46.25807571,99.96328735,44.25151825,44.25780106,46.17193985,41.79125595,99.97190857,46.33675385,51.94039154,58.41238403,51.67366791,53.72792435,53.78642273,62.32569885,99.84477997
1286,184.542099,99.98695374,99.98524475,45.09645081,45.14287186,46.24995804,99.95448303,44.23465729,44.2441864,45.97525406,41.86819077,99.96146393,46.462158200000005,51.9161644,58.38492966,51.67295456,53.72369766,53.77929306,62.30178452,99.84455872
1284,184.52035519999998,99.99281311,99.98271942,45.07561874,45.12050629,46.24231339,99.95450592,44.21772003,44.22683334,45.76044846,42.03200531,99.96164703,46.55471420000001,51.89958954,58.37027359,51.66822815,53.72256088,53.77146149,62.28722382,99.83764648
1282,184.4899445,99.99500275,100.000061,45.05286407,45.0991745,46.24333191,99.96341705,44.2052269,44.21279907,45.58571625,42.21109772,99.96617889,46.558425899999996,51.89631653,58.35784531,51.67285156,53.72270966,53.76974487,62.27468872,99.84477234
1280,184.46867369999998,100.0020828,99.99322509999999,45.02330399,45.0704155,46.23897171,99.96310425,44.18512344,44.19172668,45.51195145,42.32099533,99.9707489,46.47483063,51.90019608,58.35441971,51.67149353,53.72485352,53.767597200000004,62.26082611,99.84475708
1278,184.4588013,99.99001312,99.98921967,44.9887352,45.03426361,46.23450851,99.96099091,44.16586304,44.17031097,45.54738235,42.30752182,99.96382904,46.31305695,51.911026,58.35450363,51.66965866,53.72425842,53.76248932,62.24312592,99.83987427
1276,184.44358830000002,99.99462891,99.99454498,44.95144653,45.00164032,46.22959518,99.96107483,44.14330292,44.15002441,45.69547653,42.1801033,99.96147156,46.15570068,51.92636108,58.36277008,51.66854095,53.72888947,53.76298904,62.23196411,99.84572601
1274,184.4370728,99.98808289,99.98790741,44.92045975,44.97158051,46.22115326,99.96602631,44.12154388,44.12745667,45.88204956,41.97198486,99.96086121,46.04787445,51.93006516,58.36175537,51.66538239,53.72770309,53.75811386,62.21230698,99.83894348
1272,184.4118958,100.001976,99.99393463,44.90182877,44.95321655,46.21763611,99.96083832,44.1048584,44.11680222,46.05848694,41.75960541,99.97077179,46.04591370000001,51.92834854,58.35937881,51.66283798,53.73042679,53.75318527,62.20275879,99.84102631
1270,184.4118958,99.99393463,99.98926544,44.88579178,44.93964767,46.20558929,99.95467377,44.08828354,44.09609604,46.14630508,41.57492828,99.96392822,46.10926056,51.90509415,58.33255768,51.65408707,53.727005000000005,53.74884796,62.18867493,99.83652496
