wavelength,run_11,run_12,run_13,Baseline 100%T,run_14,run_15,run_16,run_17,Baseline 100%T.1,run_18,run_19,run_20,run_21,Baseline 100%T.2,Baseline 100%T.3,run_22,run_23,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33
2235,52.06523132,99.49161529999999,99.99532318,99.58091736,52.4523735,52.56774521,52.07268524,53.09417725,99.48512268,52.26856995,52.23401642,52.9217186,52.337883000000005,99.46422577,100.1175079,99.76570892,51.81258392,51.06297302,52.01932907,99.72569275,99.98696136,49.63131714,49.56027222,51.12836456,50.73733521,99.99478149
2230,52.064888,99.48851776,99.99530792,99.6301651,52.4492569,52.57105255,52.07028198,53.09666824,99.53179169,52.26494598,52.23258209,52.92552567,52.337234499999994,99.51145172,100.1581879,99.77249146,51.81314468,51.06113052,52.02365494,99.73649597,99.99443817,49.61385345,49.55437088,51.12877655,50.73714828,99.99824524
2225,52.06354904,99.49235535,99.98979187,99.67695618,52.45277405,52.56917953,52.0701828,53.09399796,99.57933044,52.26420212,52.23129272,52.92414474,52.33718109,99.56162262,100.2088699,99.76930237,51.8067894,51.0519104,52.01832199,99.72916412,99.98823547,49.60040283,49.54044342,51.12421417,50.72906494,99.99682617
2220,52.06516266,99.49299622,99.9997406,99.71466827,52.44284821,52.56522369,52.06879807,53.09333801,99.61587524,52.26076889,52.23200989,52.92044449,52.33325958,99.59752655,100.2435455,99.77088928,51.81165314,51.05754852,52.01829529,99.72867584,99.99047852,49.60168076,49.53732681,51.12506104,50.73191071,100.0004272
2215,52.05765915,99.48010254,99.98579407,99.75058746,52.44944763,52.56738663,52.07067871,53.10062027,99.65028381,52.26367569,52.23072052,52.92570114,52.33734131,99.63494109999999,100.27754209999999,99.77102661,51.80862427,51.05541992,52.02367401,99.73255920000001,99.99550629,49.59289551,49.5291748,51.12099457,50.72911453,100.0038376
2210,52.06043243,99.48266602,99.99360657,99.77921295,52.45599747,52.57205963,52.07651138,53.09676361,99.6870575,52.2634697,52.23509216,52.92214203,52.33992767,99.66704559,100.31431579999999,99.77123259999999,51.81281662,51.05756378,52.0216713,99.73065948,99.99209595,49.58716202,49.52450562,51.12062073,50.72894669,99.99868011
2205,52.06159973,99.48342133,100.00025179999999,99.81188202,52.45306015,52.57197189,52.07373428,53.09937668,99.70666504,52.26951218,52.23911285,52.93209457,52.34021378,99.70088959,100.3487091,99.77301025,51.80398178,51.05351639,52.02095413,99.73342133,99.98319244,49.57558441,49.51509857,51.11651993,50.72226715,100.00127409999999
2200,52.06518936,99.477211,99.99774933,99.83381653,52.46094894,52.57551575,52.07434464,53.09756851,99.74196625,52.2645874,52.23607254,52.92621994,52.33933258,99.73033905,100.37814329999999,99.77315521,51.80674744,51.04975891,52.02170181,99.73832703,99.9895401,49.56481552,49.50661469,51.11228943,50.71886063,100.0023117
2195,52.05447006,99.47164917,99.99301147,99.81239319,52.45639038,52.57554626,52.07640457,53.10210037,99.72232819,52.26295089999999,52.23451233,52.92697144,52.33709335,99.70451355,100.35749820000001,99.77555847,51.80789185,51.05283356,52.01670456,99.73077393,99.99216461,49.55669022,49.50692749,51.1135025,50.72058487,100.0081177
2190,52.04867172,99.46633911,99.99484253,99.73864746,52.44717407,52.56494904,52.05858994,53.09871292,99.64353179999999,52.25001526,52.2250824,52.9197998,52.32571793,99.62121582,100.2821426,99.77281189,51.79547119,51.05317307,52.01222229,99.7485733,99.98902893,49.54349136,49.49828339,51.10342407,50.70611954,99.9997406
