wavelength,Baseline 100%T,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,Baseline 100%T.1,run14,run15,run16,run17,run18,run19
2474,97.66783905,99.99342346,99.6635437,104.0093536,100.2121658,99.97955322,100.181427,100.97080229999999,101.0625229,99.74422455,84.94217682,98.24062347,99.38715363,99.9567337,97.47789001,99.48308563,100.5630341,99.16331482,100.2479401,100.31536870000001,100.0278473
2472,97.67032623,99.99633789,99.64363861,103.95337679999999,100.1797333,99.94237518,100.1941528,100.9874573,101.0723953,99.73510742,84.91934967,98.25127411,99.37497711,99.94182587,97.42571259,99.53767395,100.63063050000001,99.19554138,100.2998123,100.3576126,100.0588913
2470,97.67621613,99.98925018,99.62792206,103.90111540000001,100.1745911,99.91890717,100.1772079,100.9894943,101.06377409999999,99.7412262,84.96057129,98.27304840000001,99.37547302,99.91835022,97.41028595,99.56092072,100.6455765,99.2156601,100.333107,100.3623505,100.0886459
2468,97.67179871,99.98380279999999,99.62314606,103.8642273,100.2028122,99.93565369,100.15908809999999,100.98069,101.0635834,99.76502228,85.01264954,98.29685211,99.37778473,99.91347504,97.41509247,99.57105255,100.64125059999999,99.22387695,100.3444214,100.3421555,100.1042099
2466,97.67100525,99.99211121,99.62090302,103.8147812,100.2316818,99.94555664,100.1418457,100.9754868,101.0633926,99.78176117,85.00183868,98.28517914,99.39510345,99.90139008,97.43190765,99.55998993,100.61142729999999,99.21789551,100.34667209999999,100.3057022,100.1058731
2464,97.67560577,99.98434448,99.62281036,103.7502136,100.24977870000001,99.9625473,100.1286392,100.9753571,101.0623016,99.79980469,84.99964142,98.30149078,99.39663696,99.89910126,97.45606995,99.54190826,100.5898209,99.20454407,100.3396378,100.27110290000002,100.11183170000001
2462,97.67512512,99.97711945,99.61888123,103.6727066,100.2640228,99.96458435,100.11927800000001,100.97612,101.0557404,99.82038116,85.01830292,98.31980133,99.4048233,99.89547729,97.48030853,99.51529694,100.5563583,99.18635559,100.3271255,100.223587,100.1217346
2460,97.6751709,100.0009155,99.62777709999999,103.619957,100.29396820000001,99.99015045,100.10166170000001,100.9678268,101.05471800000001,99.82284546,85.05973816,98.30848694,99.39593506,99.90909576,97.51285553,99.49056244,100.52932740000001,99.16014099,100.2935562,100.1913223,100.1103363
2458,97.68553925,99.9957428,99.63012695,103.55991359999999,100.30484009999999,100.008667,100.09799190000001,100.96706390000001,101.0530624,99.82767487,85.07221222,98.2987442,99.38414764,99.92680359,97.55219269,99.46292114,100.4990234,99.12484741,100.2492447,100.1851196,100.08697509999999
2456,97.701828,99.99521637,99.64204407,103.5210571,100.2970123,100.00080109999999,100.10914609999999,100.9668121,101.0500107,99.81998444,85.05493164,98.29030609,99.38756561,99.9340744,97.57628632,99.44702911,100.512886,99.1163559,100.2254715,100.2204285,100.076004
2454,97.71592712,100.00211329999999,99.64459991,103.491272,100.2843475,99.99732971,100.1216507,100.96395109999999,101.0506744,99.81105042,85.07653809,98.29332733,99.38938141,99.96974945,97.58680725,99.45382690000001,100.53813170000001,99.10783386,100.2056351,100.2523193,100.0723877
2452,97.73662567,99.99993134,99.64318848,103.4618378,100.2605591,99.98777771,100.118721,100.957695,101.04994959999999,99.79975891,85.07269287,98.27813721,99.37095642,99.98033905,97.61054993,99.43939209,100.5478973,99.09477234,100.1830444,100.2681503,100.0499039
2450,97.7593689,100.0015488,99.6383667,103.4297714,100.25513459999999,99.97638702,100.1138229,100.9503708,101.0451355,99.78903198,85.06677246,98.26239777,99.36053467,99.97868347,97.63031006,99.43850708,100.56277469999999,99.09062958,100.1584778,100.2812881,100.03636170000001
