wavelength,Baseline 100%T,run11,run12,run13,run14,Baseline 100%T.1,run15,run16,run17,run18,run19,run20,run21,Baseline 100%T.2,run22,run23,run24
2016,1.134344697,100.03266140000001,100.0661011,97.68264008,100.3338776,7.368766308,100.151207,100.2541275,61.01135635,100.2447128,96.98838806,100.4835281,100.4362564,7.4040040970000005,98.56497192,99.96322632,100.0699615
2014,1.132794142,100.0233078,100.0488052,97.67840576,100.33524320000001,7.39471674,100.1651154,100.2800446,61.05802536,100.263092,97.0235672,100.4849167,100.4563828,7.431567669,98.55121613,99.95379639,100.0672913
2012,1.131031275,100.04553990000001,100.08908840000001,97.66943359,100.3472443,7.427507401000001,100.1404495,100.2636871,61.11009598,100.2557144,96.96641541,100.4830933,100.4367676,7.462763786,98.55898285,99.94300842,100.07875059999999
2010,1.128950715,100.0415344,100.0670471,97.65239716,100.3365479,7.4612326620000005,100.1700287,100.2598495,61.19034958,100.2476578,96.92639923,100.4847412,100.4337692,7.497674942000001,98.51667786,99.94421387,100.0878067
2008,1.127299547,100.0485535,100.076149,97.63582611,100.33068850000001,7.490139961000001,100.16928100000001,100.2593384,61.25087738,100.2496567,96.92444611,100.4873276,100.4425964,7.526181697999999,98.4757843,99.95824432,100.09227750000001
2006,1.126200557,100.0509109,100.0952148,97.67768097,100.35446929999999,7.509898186,100.1539688,100.2705002,61.24575806,100.2483368,96.98765564,100.4780197,100.42779540000001,7.54577446,98.49246216,99.95510864,100.08336640000002
2004,1.125133038,100.04611209999999,100.084053,97.65759277,100.3362503,7.527784348,100.13059229999999,100.262764,61.31645966,100.25123599999999,97.0438385,100.4731064,100.45150759999999,7.56456995,98.47689056,99.94930267,100.08566280000001
2002,1.123631239,100.0655441,100.0969162,97.64942169,100.3334198,7.554538727000001,100.131012,100.25118259999999,61.39678192,100.253273,97.02693176,100.4795914,100.4469376,7.5915617939999995,98.45767975,99.92731476,100.071228
2000,1.121377707,100.0315933,100.07196809999999,97.63108826,100.30815890000001,7.592327117999999,100.1419525,100.24827579999999,61.48826599,100.2243042,96.98061371,100.47340390000001,100.4347687,7.6281557079999995,98.42896271,99.93762207,100.08284
1998,1.0517814159999999,100.0591965,100.0831985,97.36547089,100.33995820000001,8.915269852,100.102684,100.2357483,60.84737778,100.1727219,96.73627472,100.4309311,100.43515009999999,8.957894325,98.366539,99.91741943,100.06296540000001
1996,1.048680782,100.0636368,100.0732651,97.40329742,100.3447037,8.978634834,100.10546109999999,100.2485428,60.88306808,100.1781616,96.74375153,100.428978,100.443306,9.020821571,98.37667847,99.94176483,100.06461329999999
1994,1.045731783,100.0578613,100.0723877,97.33806609999999,100.35107420000001,9.038841247999999,100.1274109,100.2480469,60.92671585,100.1688843,96.75646973,100.43871309999999,100.4412155,9.082283974,98.36170197,99.92184448,100.07189179999999
1992,1.043003321,100.06115720000001,100.0740433,97.36604309,100.35137940000001,9.096039772000001,100.14220429999999,100.251152,61.01639938,100.1693497,96.7665329,100.4521255,100.4391785,9.139369011,98.34397888,99.93669891,100.0667725
1990,1.040545225,100.0642395,100.07369229999999,97.35509491,100.3508835,9.147727966,100.13037109999999,100.2545471,61.09483337,100.17510990000001,96.74585724,100.4496307,100.4360352,9.191403389,98.33399963,99.93426514,100.0718002
1988,1.0380300279999999,100.07409670000001,100.09004209999999,97.35982513,100.3636017,9.201806068,100.1278305,100.22841640000001,61.12325287,100.1625061,96.69971466,100.4298782,100.42722320000001,9.243715286,98.33740234,99.94554138,100.08475490000001
1986,1.035232067,100.03999329999999,100.0630112,97.34297943,100.3445358,9.259494781,100.1268616,100.2396545,61.17077637,100.15229029999999,96.6717453,100.43355559999999,100.4378052,9.303647041,98.32254028,99.93288422,100.06262209999998
1984,1.0322157140000001,100.0611801,100.06951140000001,97.31492615,100.3414993,9.325062752000001,100.129509,100.23716740000002,61.25174332,100.1672592,96.69662476,100.427536,100.4389801,9.368631362999999,98.32715607,99.93692017,100.0786209
1982,1.02980113,100.0505905,100.0708694,97.32953644,100.3500671,9.37671566,100.13258359999999,100.2374878,61.37114334,100.1569366,96.74551392,100.42667390000001,100.42538449999999,9.420297623,98.34031677,99.93615723,100.0904922
1980,1.027362704,100.03649899999999,100.0642548,97.29927063,100.3334503,9.428928375,100.1259232,100.2374649,61.43144989,100.1397705,96.75085449,100.439743,100.4316559,9.473819733,98.33785248,99.92802429,100.0632401
1978,1.024701357,100.0401993,100.0660553,97.32178497,100.3423691,9.487787247,100.1237488,100.2353897,61.46841812,100.155899,96.66904449,100.4245605,100.4260635,9.530470848,98.35633087,99.94143677,100.09163670000001
1976,1.021720529,100.0437775,100.06828309999999,97.30418396,100.34410859999998,9.552375793,100.12376400000001,100.2603378,61.53105927,100.1628418,96.60081482,100.4329834,100.4402618,9.597842216,98.35553741,99.92883301,100.07654570000001
1974,1.019151807,100.03671259999999,100.06326290000001,97.32200623,100.3331985,9.609278678999999,100.1299362,100.2510529,61.66687775,100.1618271,96.58431244,100.43252559999999,100.43458559999999,9.653546333,98.37752533,99.93756866,100.08254240000001
1972,1.017056346,100.0549698,100.09094240000002,97.29993439,100.3369598,9.65683651,100.1060486,100.24987790000002,61.74543381,100.151741,96.65171814,100.4219208,100.4371262,9.703583717,98.38093567,99.91273499,100.0724335
1970,1.014718533,100.0572205,100.0843735,97.31422424,100.3296509,9.708034515,100.13258359999999,100.23903659999999,61.78849792,100.1688461,96.74302673,100.4312744,100.4368286,9.754560471,98.40716553,99.92903137,100.081192
1968,1.011561751,100.0584564,100.0840988,97.31226349,100.3500443,9.779932976,100.09788509999998,100.2472382,61.84352112,100.1552963,96.73619843,100.41349790000001,100.43527979999999,9.825110435,98.4225235,99.93769073,100.0929031
1966,1.009187937,100.0664978,100.08500670000001,97.31939697,100.3562775,9.833845139,100.1383286,100.2440567,61.98483658,100.16729740000001,96.70375824,100.42739870000001,100.4425278,9.881034851,98.41819763,99.93399811,100.0758209
1964,1.0079305170000001,100.0592804,100.08309940000001,97.27329254,100.34382629999999,9.864249229,100.112915,100.2333679,62.09139252,100.1600647,96.67380524,100.41090390000001,100.42691040000001,9.909658432,98.44445801,99.92849731,100.0792007
1962,1.006914496,100.0574493,100.0866089,97.29920959,100.3532791,9.886868477,100.1617889,100.2451324,62.13914108,100.1983795,96.69947052,100.4212265,100.4196625,9.933000565,98.44007874,99.92415619,100.085022
